timestamp,field_id,soil_moisture,temperature_soil,temperature,humidity,rainfall_1h,rainfall_24h,rain_probability,solar_radiation,crop_type,growth_stage,kc_factor,size_hectares,soil_type,prev_irrigation_volume,hours_since_last_irrigation,rolling_7d_irrigation_liters,hour_of_day,day_of_week,day_of_year,days_since_planted,irrigation_required,irrigation_volume_liters,recommended_hour,data_source,prev_irrigation_duration,crop_type_encoded,growth_stage_encoded,soil_type_encoded,stage_water_requirement_mm,prev_soil_moisture,rolling_mean_3h,rolling_mean_6h,rolling_mean_12h,rolling_min_12h,rolling_max_12h,moisture_trend,moisture_change_rate,moisture_deficit,forecast_temp_6h,forecast_rain_prob_6h,season,sm_x_temp,sm_x_humidity,rain_prob_x_sm,kc_x_sm,et0_proxy
2026-03-16 09:28:01.048231+00:00,1,41.04,21.92,25.93,67.9,0.0,0.0,88.5,610.8,Wheat (HD-2967),Flowering,1.2,4.5,Clay Loam,0.0,999.0,0.0,9,0,75,10,0,0.0,6,synthetic,30.0,1,2,2,1.2,41.04,41.04,41.04,41.04,41.04,41.04,,0.0,3.960000000000001,25.93,88.5,1,1064.1671999999999,2786.616,3632.04,0.70752,0.517845418069094
2026-03-16 09:28:01.316915+00:00,2,32.29,21.8,25.78,68.2,0.0,0.0,88.5,610.8,Tomato (Hybrid),Flowering,1.25,2.2,Sandy Loam,0.0,999.0,0.0,9,0,75,10,0,0.0,6,synthetic,30.0,6,2,0,1.2,41.04,36.665,36.665,36.665,32.29,41.04,-8.750000000000004,-8.75,2.710000000000001,25.78,88.5,1,832.4362,2202.178,2857.665,0.8463750000000001,0.5101777728654707
2026-03-16 09:28:01.579041+00:00,3,32.29,21.8,25.78,68.2,0.0,0.0,88.5,610.8,Tomato (Hybrid),Flowering,1.25,2.2,Sandy Loam,0.0,999.0,0.0,9,0,75,10,0,0.0,6,synthetic,30.0,6,2,0,1.2,32.29,35.20666666666667,35.20666666666667,35.20666666666667,32.29,41.04,-4.375000000000004,0.0,2.710000000000001,25.78,88.5,1,832.4362,2202.178,2857.665,0.8463750000000001,0.5101777728654707
2026-03-16 09:28:02.847305+00:00,4,32.29,21.8,25.78,68.2,0.0,0.0,88.5,610.8,Tomato (Hybrid),Flowering,1.25,2.2,Sandy Loam,0.0,999.0,0.0,9,0,75,10,0,0.0,6,synthetic,30.0,6,2,0,1.2,32.29,32.29,34.4775,34.4775,32.29,41.04,-2.625000000000001,0.0,2.710000000000001,25.78,88.5,1,832.4362,2202.178,2857.665,0.8463750000000001,0.5101777728654707
2026-03-16 09:28:03.189292+00:00,5,32.29,21.8,25.78,68.2,0.0,0.0,88.5,610.8,Tomato (Hybrid),Flowering,1.25,2.2,Sandy Loam,0.0,999.0,0.0,9,0,75,10,0,0.0,6,synthetic,30.0,6,2,0,1.2,32.29,32.29,34.04,34.04,32.29,41.04,-1.750000000000002,0.0,2.710000000000001,25.78,88.5,1,832.4362,2202.178,2857.665,0.8463750000000001,0.5101777728654707
2026-03-16 09:28:03.445233+00:00,6,32.29,21.8,25.78,68.2,0.0,0.0,88.5,610.8,Tomato (Hybrid),Flowering,1.25,2.2,Sandy Loam,0.0,999.0,0.0,9,0,75,10,0,0.0,6,synthetic,30.0,6,2,0,1.2,32.29,32.29,33.748333333333335,33.748333333333335,32.29,41.04,-1.2500000000000002,0.0,2.710000000000001,25.78,88.5,1,832.4362,2202.178,2857.665,0.8463750000000001,0.5101777728654707
2026-03-16 09:28:03.707050+00:00,7,32.29,21.8,25.78,68.2,0.0,0.0,88.5,610.8,Tomato (Hybrid),Flowering,1.25,2.2,Sandy Loam,0.0,999.0,0.0,9,0,75,10,0,0.0,6,synthetic,30.0,6,2,0,1.2,32.29,32.29,32.29,33.54,32.29,41.04,1.2855424314461356e-15,0.0,2.710000000000001,25.78,88.5,1,832.4362,2202.178,2857.665,0.8463750000000001,0.5101777728654707
2026-03-16 09:28:03.969427+00:00,8,32.29,21.8,25.78,68.2,0.0,0.0,88.5,610.8,Tomato (Hybrid),Flowering,1.25,2.2,Sandy Loam,0.0,999.0,0.0,9,0,75,10,0,0.0,6,synthetic,30.0,6,2,0,1.2,32.29,32.29,32.29,33.38375,32.29,41.04,1.2855424314461356e-15,0.0,2.710000000000001,25.78,88.5,1,832.4362,2202.178,2857.665,0.8463750000000001,0.5101777728654707
2026-03-16 09:28:04.592271+00:00,9,32.29,21.8,25.78,68.2,0.0,0.0,88.5,610.8,Tomato (Hybrid),Flowering,1.25,2.2,Sandy Loam,0.0,999.0,0.0,9,0,75,10,0,0.0,6,synthetic,30.0,6,2,0,1.2,32.29,32.29,32.29,33.26222222222222,32.29,41.04,1.2855424314461356e-15,0.0,2.710000000000001,25.78,88.5,1,832.4362,2202.178,2857.665,0.8463750000000001,0.5101777728654707
2026-03-16 10:28:01.048231+00:00,1,40.95,23.25,27.03,69.1,0.0,0.0,73.5,747.6,Wheat (HD-2967),Flowering,1.2,4.5,Clay Loam,0.0,999.0,0.0,10,0,75,10,0,0.0,6,synthetic,30.0,1,2,2,1.2,32.29,35.17666666666667,33.733333333333334,34.031,32.29,41.04,1.2371428571428569,8.660000000000004,4.049999999999997,27.03,73.5,1,1106.8785,2829.645,3009.8250000000003,0.7086,0.6349819178461112
